epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
1,0,0.87666,0.87666,0.83594,0.00000,0.00000,617,618
2,0,0.79980,0.79980,0.94531,0.00890,0.72260,138,139
3,0,0.72151,0.72151,0.96094,0.00340,0.49523,116,117
4,0,0.68912,0.68912,0.96875,0.00167,0.37366,125,126
5,0,0.68099,0.68099,0.97656,0.00133,0.26932,112,113
6,0,0.68743,0.68743,0.97656,0.00065,0.25085,111,112
7,0,0.68125,0.68125,0.97656,0.00087,0.23401,126,128
8,0,0.68086,0.68086,0.97656,0.00078,0.21532,163,164
9,0,0.70587,0.70587,0.98047,0.00089,0.28721,185,186
10,0,0.70188,0.70188,0.98047,0.00104,0.24921,118,119
epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
1,0,0.87666,0.87666,0.83594,0.00000,0.00000,658,659
2,0,0.79979,0.79979,0.94922,0.00890,0.72259,127,129
3,0,0.72154,0.72154,0.96094,0.00339,0.49519,122,123
4,0,0.68911,0.68911,0.96875,0.00167,0.37371,112,113
5,0,0.68099,0.68099,0.97656,0.00133,0.26890,121,122
6,0,0.68744,0.68744,0.97656,0.00065,0.25117,118,119
7,0,0.68127,0.68127,0.97656,0.00087,0.23421,118,119
8,0,0.68088,0.68088,0.97656,0.00077,0.21588,105,106
9,0,0.70589,0.70589,0.98047,0.00089,0.28755,122,123
10,0,0.70186,0.70186,0.98047,0.00104,0.24904,117,118
